MTU (CET/CEST),Area,Sequence,Day-ahead Price (EUR/MWh),Intraday Period (CET/CEST),Intraday Price (EUR/MWh)
03/01/2025 09:00:00 - 03/01/2025 10:00:00,BZN|DK2,Without sequence,79.42,,
03/01/2025 10:00:00 - 03/01/2025 11:00:00,BZN|DK2,Without sequence,75.69,,
03/01/2025 11:00:00 - 03/01/2025 12:00:00,BZN|DK2,Without sequence,67.54,,
03/01/2025 12:00:00 - 03/01/2025 13:00:00,BZN|DK2,Without sequence,54.32,,
03/01/2025 13:00:00 - 03/01/2025 14:00:00,BZN|DK2,Without sequence,52.8,,
03/01/2025 14:00:00 - 03/01/2025 15:00:00,BZN|DK2,Without sequence,53.75,,
03/01/2025 15:00:00 - 03/01/2025 16:00:00,BZN|DK2,Without sequence,72.89,,
03/01/2025 16:00:00 - 03/01/2025 17:00:00,BZN|DK2,Without sequence,100.47,,
03/01/2025 17:00:00 - 03/01/2025 18:00:00,BZN|DK2,Without sequence,105.79,,
03/01/2025 18:00:00 - 03/01/2025 19:00:00,BZN|DK2,Without sequence,108.51,,
03/01/2025 19:00:00 - 03/01/2025 20:00:00,BZN|DK2,Without sequence,100.69,,
03/01/2025 20:00:00 - 03/01/2025 21:00:00,BZN|DK2,Without sequence,82.76,,
03/01/2025 21:00:00 - 03/01/2025 22:00:00,BZN|DK2,Without sequence,80.72,,
03/01/2025 22:00:00 - 03/01/2025 23:00:00,BZN|DK2,Without sequence,67.13,,
03/01/2025 23:00:00 - 04/01/2025 00:00:00,BZN|DK2,Without sequence,67.76,,
04/01/2025 00:00:00 - 04/01/2025 01:00:00,BZN|DK2,Without sequence,60.59,,
04/01/2025 01:00:00 - 04/01/2025 02:00:00,BZN|DK2,Without sequence,81.97,,
04/01/2025 02:00:00 - 04/01/2025 03:00:00,BZN|DK2,Without sequence,90.2,,
04/01/2025 03:00:00 - 04/01/2025 04:00:00,BZN|DK2,Without sequence,91.53,,
04/01/2025 04:00:00 - 04/01/2025 05:00:00,BZN|DK2,Without sequence,95.95,,
04/01/2025 05:00:00 - 04/01/2025 06:00:00,BZN|DK2,Without sequence,102.11,,
04/01/2025 06:00:00 - 04/01/2025 07:00:00,BZN|DK2,Without sequence,110.66,,
04/01/2025 07:00:00 - 04/01/2025 08:00:00,BZN|DK2,Without sequence,119.96,,
04/01/2025 08:00:00 - 04/01/2025 09:00:00,BZN|DK2,Without sequence,128.39,,
04/01/2025 09:00:00 - 04/01/2025 10:00:00,BZN|DK2,Without sequence,130.75,,
04/01/2025 10:00:00 - 04/01/2025 11:00:00,BZN|DK2,Without sequence,130.35,,
