MTU (CET/CEST),Area,Sequence,Day-ahead Price (EUR/MWh),Intraday Period (CET/CEST),Intraday Price (EUR/MWh)
26/01/2025 15:00:00 - 26/01/2025 16:00:00,BZN|DK2,Without sequence,111.64,,
26/01/2025 16:00:00 - 26/01/2025 17:00:00,BZN|DK2,Without sequence,125.92,,
26/01/2025 17:00:00 - 26/01/2025 18:00:00,BZN|DK2,Without sequence,132.77,,
26/01/2025 18:00:00 - 26/01/2025 19:00:00,BZN|DK2,Without sequence,118.94,,
26/01/2025 19:00:00 - 26/01/2025 20:00:00,BZN|DK2,Without sequence,90.32,,
26/01/2025 20:00:00 - 26/01/2025 21:00:00,BZN|DK2,Without sequence,78.93,,
26/01/2025 21:00:00 - 26/01/2025 22:00:00,BZN|DK2,Without sequence,68.27,,
26/01/2025 22:00:00 - 26/01/2025 23:00:00,BZN|DK2,Without sequence,43.29,,
26/01/2025 23:00:00 - 27/01/2025 00:00:00,BZN|DK2,Without sequence,27.68,,
27/01/2025 00:00:00 - 27/01/2025 01:00:00,BZN|DK2,Without sequence,39.13,,
27/01/2025 01:00:00 - 27/01/2025 02:00:00,BZN|DK2,Without sequence,34.57,,
27/01/2025 02:00:00 - 27/01/2025 03:00:00,BZN|DK2,Without sequence,27.06,,
27/01/2025 03:00:00 - 27/01/2025 04:00:00,BZN|DK2,Without sequence,14.07,,
27/01/2025 04:00:00 - 27/01/2025 05:00:00,BZN|DK2,Without sequence,10.1,,
27/01/2025 05:00:00 - 27/01/2025 06:00:00,BZN|DK2,Without sequence,21.7,,
27/01/2025 06:00:00 - 27/01/2025 07:00:00,BZN|DK2,Without sequence,34.3,,
27/01/2025 07:00:00 - 27/01/2025 08:00:00,BZN|DK2,Without sequence,56.64,,
27/01/2025 08:00:00 - 27/01/2025 09:00:00,BZN|DK2,Without sequence,64.28,,
27/01/2025 09:00:00 - 27/01/2025 10:00:00,BZN|DK2,Without sequence,52.41,,
27/01/2025 10:00:00 - 27/01/2025 11:00:00,BZN|DK2,Without sequence,43.57,,
27/01/2025 11:00:00 - 27/01/2025 12:00:00,BZN|DK2,Without sequence,38.63,,
27/01/2025 12:00:00 - 27/01/2025 13:00:00,BZN|DK2,Without sequence,35.67,,
27/01/2025 13:00:00 - 27/01/2025 14:00:00,BZN|DK2,Without sequence,36.84,,
27/01/2025 14:00:00 - 27/01/2025 15:00:00,BZN|DK2,Without sequence,42.41,,
27/01/2025 15:00:00 - 27/01/2025 16:00:00,BZN|DK2,Without sequence,61.59,,
27/01/2025 16:00:00 - 27/01/2025 17:00:00,BZN|DK2,Without sequence,70.39,,
27/01/2025 17:00:00 - 27/01/2025 18:00:00,BZN|DK2,Without sequence,82.99,,
27/01/2025 18:00:00 - 27/01/2025 19:00:00,BZN|DK2,Without sequence,83.37,,
27/01/2025 19:00:00 - 27/01/2025 20:00:00,BZN|DK2,Without sequence,73.91,,
27/01/2025 20:00:00 - 27/01/2025 21:00:00,BZN|DK2,Without sequence,66.47,,
27/01/2025 21:00:00 - 27/01/2025 22:00:00,BZN|DK2,Without sequence,60,,
27/01/2025 22:00:00 - 27/01/2025 23:00:00,BZN|DK2,Without sequence,57.01,,
27/01/2025 23:00:00 - 28/01/2025 00:00:00,BZN|DK2,Without sequence,49.92,,
28/01/2025 00:00:00 - 28/01/2025 01:00:00,BZN|DK2,Without sequence,50.85,,
28/01/2025 01:00:00 - 28/01/2025 02:00:00,BZN|DK2,Without sequence,47.21,,
28/01/2025 02:00:00 - 28/01/2025 03:00:00,BZN|DK2,Without sequence,39.48,,
28/01/2025 03:00:00 - 28/01/2025 04:00:00,BZN|DK2,Without sequence,45,,
28/01/2025 04:00:00 - 28/01/2025 05:00:00,BZN|DK2,Without sequence,49.78,,
28/01/2025 05:00:00 - 28/01/2025 06:00:00,BZN|DK2,Without sequence,50.17,,
28/01/2025 06:00:00 - 28/01/2025 07:00:00,BZN|DK2,Without sequence,82.03,,
28/01/2025 07:00:00 - 28/01/2025 08:00:00,BZN|DK2,Without sequence,125.46,,
28/01/2025 08:00:00 - 28/01/2025 09:00:00,BZN|DK2,Without sequence,147.5,,
28/01/2025 09:00:00 - 28/01/2025 10:00:00,BZN|DK2,Without sequence,135.31,,
28/01/2025 10:00:00 - 28/01/2025 11:00:00,BZN|DK2,Without sequence,120.54,,
28/01/2025 11:00:00 - 28/01/2025 12:00:00,BZN|DK2,Without sequence,116.34,,
28/01/2025 12:00:00 - 28/01/2025 13:00:00,BZN|DK2,Without sequence,114.76,,
28/01/2025 13:00:00 - 28/01/2025 14:00:00,BZN|DK2,Without sequence,117.39,,
28/01/2025 14:00:00 - 28/01/2025 15:00:00,BZN|DK2,Without sequence,121.33,,
28/01/2025 15:00:00 - 28/01/2025 16:00:00,BZN|DK2,Without sequence,139.91,,
28/01/2025 16:00:00 - 28/01/2025 17:00:00,BZN|DK2,Without sequence,147,,
28/01/2025 17:00:00 - 28/01/2025 18:00:00,BZN|DK2,Without sequence,149.6,,
28/01/2025 18:00:00 - 28/01/2025 19:00:00,BZN|DK2,Without sequence,134.94,,
28/01/2025 19:00:00 - 28/01/2025 20:00:00,BZN|DK2,Without sequence,128.9,,
28/01/2025 20:00:00 - 28/01/2025 21:00:00,BZN|DK2,Without sequence,94.76,,
28/01/2025 21:00:00 - 28/01/2025 22:00:00,BZN|DK2,Without sequence,87.27,,
28/01/2025 22:00:00 - 28/01/2025 23:00:00,BZN|DK2,Without sequence,79.81,,
28/01/2025 23:00:00 - 29/01/2025 00:00:00,BZN|DK2,Without sequence,64.43,,
29/01/2025 00:00:00 - 29/01/2025 01:00:00,BZN|DK2,Without sequence,87.72,,
29/01/2025 01:00:00 - 29/01/2025 02:00:00,BZN|DK2,Without sequence,83.39,,
29/01/2025 02:00:00 - 29/01/2025 03:00:00,BZN|DK2,Without sequence,78.16,,
29/01/2025 03:00:00 - 29/01/2025 04:00:00,BZN|DK2,Without sequence,75.64,,
29/01/2025 04:00:00 - 29/01/2025 05:00:00,BZN|DK2,Without sequence,77.85,,
29/01/2025 05:00:00 - 29/01/2025 06:00:00,BZN|DK2,Without sequence,84.64,,
29/01/2025 06:00:00 - 29/01/2025 07:00:00,BZN|DK2,Without sequence,93.15,,
29/01/2025 07:00:00 - 29/01/2025 08:00:00,BZN|DK2,Without sequence,141.42,,
29/01/2025 08:00:00 - 29/01/2025 09:00:00,BZN|DK2,Without sequence,142.54,,
29/01/2025 09:00:00 - 29/01/2025 10:00:00,BZN|DK2,Without sequence,130.46,,
29/01/2025 10:00:00 - 29/01/2025 11:00:00,BZN|DK2,Without sequence,105.06,,
29/01/2025 11:00:00 - 29/01/2025 12:00:00,BZN|DK2,Without sequence,89.25,,
29/01/2025 12:00:00 - 29/01/2025 13:00:00,BZN|DK2,Without sequence,85,,
29/01/2025 13:00:00 - 29/01/2025 14:00:00,BZN|DK2,Without sequence,85.53,,
29/01/2025 14:00:00 - 29/01/2025 15:00:00,BZN|DK2,Without sequence,87.67,,
29/01/2025 15:00:00 - 29/01/2025 16:00:00,BZN|DK2,Without sequence,102.75,,
29/01/2025 16:00:00 - 29/01/2025 17:00:00,BZN|DK2,Without sequence,132.66,,
29/01/2025 17:00:00 - 29/01/2025 18:00:00,BZN|DK2,Without sequence,149.57,,
29/01/2025 18:00:00 - 29/01/2025 19:00:00,BZN|DK2,Without sequence,150.1,,
29/01/2025 19:00:00 - 29/01/2025 20:00:00,BZN|DK2,Without sequence,143.52,,
29/01/2025 20:00:00 - 29/01/2025 21:00:00,BZN|DK2,Without sequence,123.76,,
29/01/2025 21:00:00 - 29/01/2025 22:00:00,BZN|DK2,Without sequence,113.63,,
29/01/2025 22:00:00 - 29/01/2025 23:00:00,BZN|DK2,Without sequence,110.25,,
29/01/2025 23:00:00 - 30/01/2025 00:00:00,BZN|DK2,Without sequence,43.44,,
30/01/2025 00:00:00 - 30/01/2025 01:00:00,BZN|DK2,Without sequence,52.59,,
30/01/2025 01:00:00 - 30/01/2025 02:00:00,BZN|DK2,Without sequence,53.38,,
30/01/2025 02:00:00 - 30/01/2025 03:00:00,BZN|DK2,Without sequence,57.18,,
30/01/2025 03:00:00 - 30/01/2025 04:00:00,BZN|DK2,Without sequence,46.59,,
30/01/2025 04:00:00 - 30/01/2025 05:00:00,BZN|DK2,Without sequence,44.51,,
30/01/2025 05:00:00 - 30/01/2025 06:00:00,BZN|DK2,Without sequence,54.97,,
30/01/2025 06:00:00 - 30/01/2025 07:00:00,BZN|DK2,Without sequence,68.68,,
30/01/2025 07:00:00 - 30/01/2025 08:00:00,BZN|DK2,Without sequence,141.65,,
30/01/2025 08:00:00 - 30/01/2025 09:00:00,BZN|DK2,Without sequence,152.8,,
30/01/2025 09:00:00 - 30/01/2025 10:00:00,BZN|DK2,Without sequence,145.37,,
30/01/2025 10:00:00 - 30/01/2025 11:00:00,BZN|DK2,Without sequence,130.26,,
30/01/2025 11:00:00 - 30/01/2025 12:00:00,BZN|DK2,Without sequence,115.88,,
30/01/2025 12:00:00 - 30/01/2025 13:00:00,BZN|DK2,Without sequence,111.95,,
30/01/2025 13:00:00 - 30/01/2025 14:00:00,BZN|DK2,Without sequence,113.31,,
30/01/2025 14:00:00 - 30/01/2025 15:00:00,BZN|DK2,Without sequence,129.42,,
30/01/2025 15:00:00 - 30/01/2025 16:00:00,BZN|DK2,Without sequence,153.22,,
30/01/2025 16:00:00 - 30/01/2025 17:00:00,BZN|DK2,Without sequence,155.99,,
30/01/2025 17:00:00 - 30/01/2025 18:00:00,BZN|DK2,Without sequence,184.97,,
30/01/2025 18:00:00 - 30/01/2025 19:00:00,BZN|DK2,Without sequence,176.86,,
30/01/2025 19:00:00 - 30/01/2025 20:00:00,BZN|DK2,Without sequence,161.29,,
30/01/2025 20:00:00 - 30/01/2025 21:00:00,BZN|DK2,Without sequence,150.21,,
30/01/2025 21:00:00 - 30/01/2025 22:00:00,BZN|DK2,Without sequence,134.17,,
30/01/2025 22:00:00 - 30/01/2025 23:00:00,BZN|DK2,Without sequence,126.46,,
30/01/2025 23:00:00 - 31/01/2025 00:00:00,BZN|DK2,Without sequence,120.2,,
31/01/2025 00:00:00 - 31/01/2025 01:00:00,BZN|DK2,Without sequence,114.94,,
31/01/2025 01:00:00 - 31/01/2025 02:00:00,BZN|DK2,Without sequence,105.13,,
31/01/2025 02:00:00 - 31/01/2025 03:00:00,BZN|DK2,Without sequence,102.57,,
31/01/2025 03:00:00 - 31/01/2025 04:00:00,BZN|DK2,Without sequence,102.88,,
31/01/2025 04:00:00 - 31/01/2025 05:00:00,BZN|DK2,Without sequence,98.38,,
31/01/2025 05:00:00 - 31/01/2025 06:00:00,BZN|DK2,Without sequence,98.08,,
31/01/2025 06:00:00 - 31/01/2025 07:00:00,BZN|DK2,Without sequence,117.73,,
31/01/2025 07:00:00 - 31/01/2025 08:00:00,BZN|DK2,Without sequence,154.96,,
31/01/2025 08:00:00 - 31/01/2025 09:00:00,BZN|DK2,Without sequence,163.7,,
31/01/2025 09:00:00 - 31/01/2025 10:00:00,BZN|DK2,Without sequence,154.83,,
31/01/2025 10:00:00 - 31/01/2025 11:00:00,BZN|DK2,Without sequence,130.1,,
31/01/2025 11:00:00 - 31/01/2025 12:00:00,BZN|DK2,Without sequence,126.2,,
31/01/2025 12:00:00 - 31/01/2025 13:00:00,BZN|DK2,Without sequence,120.06,,
31/01/2025 13:00:00 - 31/01/2025 14:00:00,BZN|DK2,Without sequence,121.19,,
31/01/2025 14:00:00 - 31/01/2025 15:00:00,BZN|DK2,Without sequence,119.77,,
31/01/2025 15:00:00 - 31/01/2025 16:00:00,BZN|DK2,Without sequence,149.87,,
31/01/2025 16:00:00 - 31/01/2025 17:00:00,BZN|DK2,Without sequence,168.26,,
31/01/2025 17:00:00 - 31/01/2025 18:00:00,BZN|DK2,Without sequence,185.27,,
31/01/2025 18:00:00 - 31/01/2025 19:00:00,BZN|DK2,Without sequence,184.49,,
31/01/2025 19:00:00 - 31/01/2025 20:00:00,BZN|DK2,Without sequence,179,,
31/01/2025 20:00:00 - 31/01/2025 21:00:00,BZN|DK2,Without sequence,162.66,,
31/01/2025 21:00:00 - 31/01/2025 22:00:00,BZN|DK2,Without sequence,152.7,,
31/01/2025 22:00:00 - 31/01/2025 23:00:00,BZN|DK2,Without sequence,144.31,,
31/01/2025 23:00:00 - 01/02/2025 00:00:00,BZN|DK2,Without sequence,131.41,,
01/02/2025 00:00:00 - 01/02/2025 01:00:00,BZN|DK2,Without sequence,136.93,,
01/02/2025 01:00:00 - 01/02/2025 02:00:00,BZN|DK2,Without sequence,129.11,,
01/02/2025 02:00:00 - 01/02/2025 03:00:00,BZN|DK2,Without sequence,124.24,,
01/02/2025 03:00:00 - 01/02/2025 04:00:00,BZN|DK2,Without sequence,119.12,,
01/02/2025 04:00:00 - 01/02/2025 05:00:00,BZN|DK2,Without sequence,113.48,,
01/02/2025 05:00:00 - 01/02/2025 06:00:00,BZN|DK2,Without sequence,106.75,,
01/02/2025 06:00:00 - 01/02/2025 07:00:00,BZN|DK2,Without sequence,120.28,,
01/02/2025 07:00:00 - 01/02/2025 08:00:00,BZN|DK2,Without sequence,132.72,,
01/02/2025 08:00:00 - 01/02/2025 09:00:00,BZN|DK2,Without sequence,149.78,,
01/02/2025 09:00:00 - 01/02/2025 10:00:00,BZN|DK2,Without sequence,142.44,,
01/02/2025 10:00:00 - 01/02/2025 11:00:00,BZN|DK2,Without sequence,128.4,,
01/02/2025 11:00:00 - 01/02/2025 12:00:00,BZN|DK2,Without sequence,120.09,,
01/02/2025 12:00:00 - 01/02/2025 13:00:00,BZN|DK2,Without sequence,110.29,,
01/02/2025 13:00:00 - 01/02/2025 14:00:00,BZN|DK2,Without sequence,103.4,,
01/02/2025 14:00:00 - 01/02/2025 15:00:00,BZN|DK2,Without sequence,113.7,,
01/02/2025 15:00:00 - 01/02/2025 16:00:00,BZN|DK2,Without sequence,129.49,,
01/02/2025 16:00:00 - 01/02/2025 17:00:00,BZN|DK2,Without sequence,154.43,,
01/02/2025 17:00:00 - 01/02/2025 18:00:00,BZN|DK2,Without sequence,168.27,,
01/02/2025 18:00:00 - 01/02/2025 19:00:00,BZN|DK2,Without sequence,167.51,,
01/02/2025 19:00:00 - 01/02/2025 20:00:00,BZN|DK2,Without sequence,162.99,,
01/02/2025 20:00:00 - 01/02/2025 21:00:00,BZN|DK2,Without sequence,156.6,,
01/02/2025 21:00:00 - 01/02/2025 22:00:00,BZN|DK2,Without sequence,145.25,,
01/02/2025 22:00:00 - 01/02/2025 23:00:00,BZN|DK2,Without sequence,141.74,,
01/02/2025 23:00:00 - 02/02/2025 00:00:00,BZN|DK2,Without sequence,131.74,,
02/02/2025 00:00:00 - 02/02/2025 01:00:00,BZN|DK2,Without sequence,133.26,,
02/02/2025 01:00:00 - 02/02/2025 02:00:00,BZN|DK2,Without sequence,126.91,,
02/02/2025 02:00:00 - 02/02/2025 03:00:00,BZN|DK2,Without sequence,122.99,,
02/02/2025 03:00:00 - 02/02/2025 04:00:00,BZN|DK2,Without sequence,120.67,,
02/02/2025 04:00:00 - 02/02/2025 05:00:00,BZN|DK2,Without sequence,122.34,,
02/02/2025 05:00:00 - 02/02/2025 06:00:00,BZN|DK2,Without sequence,123.42,,
02/02/2025 06:00:00 - 02/02/2025 07:00:00,BZN|DK2,Without sequence,128.09,,
02/02/2025 07:00:00 - 02/02/2025 08:00:00,BZN|DK2,Without sequence,135.9,,
02/02/2025 08:00:00 - 02/02/2025 09:00:00,BZN|DK2,Without sequence,137.3,,
02/02/2025 09:00:00 - 02/02/2025 10:00:00,BZN|DK2,Without sequence,137.7,,
02/02/2025 10:00:00 - 02/02/2025 11:00:00,BZN|DK2,Without sequence,130.04,,
02/02/2025 11:00:00 - 02/02/2025 12:00:00,BZN|DK2,Without sequence,129.33,,
02/02/2025 12:00:00 - 02/02/2025 13:00:00,BZN|DK2,Without sequence,122.24,,
02/02/2025 13:00:00 - 02/02/2025 14:00:00,BZN|DK2,Without sequence,111.88,,
02/02/2025 14:00:00 - 02/02/2025 15:00:00,BZN|DK2,Without sequence,116.42,,
02/02/2025 15:00:00 - 02/02/2025 16:00:00,BZN|DK2,Without sequence,127.97,,
02/02/2025 16:00:00 - 02/02/2025 17:00:00,BZN|DK2,Without sequence,151.21,,
02/02/2025 17:00:00 - 02/02/2025 18:00:00,BZN|DK2,Without sequence,164.03,,
02/02/2025 18:00:00 - 02/02/2025 19:00:00,BZN|DK2,Without sequence,172.49,,
02/02/2025 19:00:00 - 02/02/2025 20:00:00,BZN|DK2,Without sequence,173.95,,
02/02/2025 20:00:00 - 02/02/2025 21:00:00,BZN|DK2,Without sequence,165.49,,
02/02/2025 21:00:00 - 02/02/2025 22:00:00,BZN|DK2,Without sequence,155.77,,
02/02/2025 22:00:00 - 02/02/2025 23:00:00,BZN|DK2,Without sequence,148.43,,
02/02/2025 23:00:00 - 03/02/2025 00:00:00,BZN|DK2,Without sequence,133.23,,
03/02/2025 00:00:00 - 03/02/2025 01:00:00,BZN|DK2,Without sequence,129.53,,
03/02/2025 01:00:00 - 03/02/2025 02:00:00,BZN|DK2,Without sequence,126.63,,
03/02/2025 02:00:00 - 03/02/2025 03:00:00,BZN|DK2,Without sequence,124.71,,
03/02/2025 03:00:00 - 03/02/2025 04:00:00,BZN|DK2,Without sequence,120.03,,
03/02/2025 04:00:00 - 03/02/2025 05:00:00,BZN|DK2,Without sequence,123.23,,
03/02/2025 05:00:00 - 03/02/2025 06:00:00,BZN|DK2,Without sequence,127.76,,
03/02/2025 06:00:00 - 03/02/2025 07:00:00,BZN|DK2,Without sequence,159.17,,
03/02/2025 07:00:00 - 03/02/2025 08:00:00,BZN|DK2,Without sequence,207.88,,
03/02/2025 08:00:00 - 03/02/2025 09:00:00,BZN|DK2,Without sequence,243.23,,
03/02/2025 09:00:00 - 03/02/2025 10:00:00,BZN|DK2,Without sequence,178.03,,
03/02/2025 10:00:00 - 03/02/2025 11:00:00,BZN|DK2,Without sequence,149.95,,
03/02/2025 11:00:00 - 03/02/2025 12:00:00,BZN|DK2,Without sequence,126.05,,
03/02/2025 12:00:00 - 03/02/2025 13:00:00,BZN|DK2,Without sequence,117.26,,
03/02/2025 13:00:00 - 03/02/2025 14:00:00,BZN|DK2,Without sequence,115.29,,
03/02/2025 14:00:00 - 03/02/2025 15:00:00,BZN|DK2,Without sequence,124.19,,
03/02/2025 15:00:00 - 03/02/2025 16:00:00,BZN|DK2,Without sequence,145.87,,
03/02/2025 16:00:00 - 03/02/2025 17:00:00,BZN|DK2,Without sequence,170.71,,
03/02/2025 17:00:00 - 03/02/2025 18:00:00,BZN|DK2,Without sequence,216,,
03/02/2025 18:00:00 - 03/02/2025 19:00:00,BZN|DK2,Without sequence,200.73,,
03/02/2025 19:00:00 - 03/02/2025 20:00:00,BZN|DK2,Without sequence,201.1,,
03/02/2025 20:00:00 - 03/02/2025 21:00:00,BZN|DK2,Without sequence,167.74,,
03/02/2025 21:00:00 - 03/02/2025 22:00:00,BZN|DK2,Without sequence,153.01,,
03/02/2025 22:00:00 - 03/02/2025 23:00:00,BZN|DK2,Without sequence,144.23,,
03/02/2025 23:00:00 - 04/02/2025 00:00:00,BZN|DK2,Without sequence,135.81,,
04/02/2025 00:00:00 - 04/02/2025 01:00:00,BZN|DK2,Without sequence,132.4,,
04/02/2025 01:00:00 - 04/02/2025 02:00:00,BZN|DK2,Without sequence,125.54,,
04/02/2025 02:00:00 - 04/02/2025 03:00:00,BZN|DK2,Without sequence,123.18,,
04/02/2025 03:00:00 - 04/02/2025 04:00:00,BZN|DK2,Without sequence,123.99,,
04/02/2025 04:00:00 - 04/02/2025 05:00:00,BZN|DK2,Without sequence,123.25,,
04/02/2025 05:00:00 - 04/02/2025 06:00:00,BZN|DK2,Without sequence,127.63,,
04/02/2025 06:00:00 - 04/02/2025 07:00:00,BZN|DK2,Without sequence,155.45,,
04/02/2025 07:00:00 - 04/02/2025 08:00:00,BZN|DK2,Without sequence,192.27,,
04/02/2025 08:00:00 - 04/02/2025 09:00:00,BZN|DK2,Without sequence,212.04,,
04/02/2025 09:00:00 - 04/02/2025 10:00:00,BZN|DK2,Without sequence,163.35,,
04/02/2025 10:00:00 - 04/02/2025 11:00:00,BZN|DK2,Without sequence,136.53,,
04/02/2025 11:00:00 - 04/02/2025 12:00:00,BZN|DK2,Without sequence,126.57,,
04/02/2025 12:00:00 - 04/02/2025 13:00:00,BZN|DK2,Without sequence,116.89,,
04/02/2025 13:00:00 - 04/02/2025 14:00:00,BZN|DK2,Without sequence,113.17,,
04/02/2025 14:00:00 - 04/02/2025 15:00:00,BZN|DK2,Without sequence,120.09,,
04/02/2025 15:00:00 - 04/02/2025 16:00:00,BZN|DK2,Without sequence,127.47,,
04/02/2025 16:00:00 - 04/02/2025 17:00:00,BZN|DK2,Without sequence,164.82,,
04/02/2025 17:00:00 - 04/02/2025 18:00:00,BZN|DK2,Without sequence,168.99,,
04/02/2025 18:00:00 - 04/02/2025 19:00:00,BZN|DK2,Without sequence,175,,
04/02/2025 19:00:00 - 04/02/2025 20:00:00,BZN|DK2,Without sequence,162.04,,
04/02/2025 20:00:00 - 04/02/2025 21:00:00,BZN|DK2,Without sequence,145.01,,
04/02/2025 21:00:00 - 04/02/2025 22:00:00,BZN|DK2,Without sequence,123.29,,
04/02/2025 22:00:00 - 04/02/2025 23:00:00,BZN|DK2,Without sequence,105.41,,
04/02/2025 23:00:00 - 05/02/2025 00:00:00,BZN|DK2,Without sequence,75.72,,
05/02/2025 00:00:00 - 05/02/2025 01:00:00,BZN|DK2,Without sequence,78.39,,
05/02/2025 01:00:00 - 05/02/2025 02:00:00,BZN|DK2,Without sequence,79.85,,
05/02/2025 02:00:00 - 05/02/2025 03:00:00,BZN|DK2,Without sequence,81.52,,
05/02/2025 03:00:00 - 05/02/2025 04:00:00,BZN|DK2,Without sequence,80.57,,
05/02/2025 04:00:00 - 05/02/2025 05:00:00,BZN|DK2,Without sequence,88.9,,
05/02/2025 05:00:00 - 05/02/2025 06:00:00,BZN|DK2,Without sequence,96.52,,
05/02/2025 06:00:00 - 05/02/2025 07:00:00,BZN|DK2,Without sequence,109.83,,
05/02/2025 07:00:00 - 05/02/2025 08:00:00,BZN|DK2,Without sequence,126.38,,
05/02/2025 08:00:00 - 05/02/2025 09:00:00,BZN|DK2,Without sequence,139.99,,
05/02/2025 09:00:00 - 05/02/2025 10:00:00,BZN|DK2,Without sequence,132.62,,
05/02/2025 10:00:00 - 05/02/2025 11:00:00,BZN|DK2,Without sequence,112.12,,
05/02/2025 11:00:00 - 05/02/2025 12:00:00,BZN|DK2,Without sequence,90.05,,
05/02/2025 12:00:00 - 05/02/2025 13:00:00,BZN|DK2,Without sequence,91.01,,
05/02/2025 13:00:00 - 05/02/2025 14:00:00,BZN|DK2,Without sequence,92.07,,
05/02/2025 14:00:00 - 05/02/2025 15:00:00,BZN|DK2,Without sequence,103.69,,
05/02/2025 15:00:00 - 05/02/2025 16:00:00,BZN|DK2,Without sequence,120.63,,
05/02/2025 16:00:00 - 05/02/2025 17:00:00,BZN|DK2,Without sequence,135.24,,
05/02/2025 17:00:00 - 05/02/2025 18:00:00,BZN|DK2,Without sequence,177.19,,
05/02/2025 18:00:00 - 05/02/2025 19:00:00,BZN|DK2,Without sequence,189.9,,
05/02/2025 19:00:00 - 05/02/2025 20:00:00,BZN|DK2,Without sequence,157.29,,
05/02/2025 20:00:00 - 05/02/2025 21:00:00,BZN|DK2,Without sequence,140.95,,
05/02/2025 21:00:00 - 05/02/2025 22:00:00,BZN|DK2,Without sequence,130.85,,
05/02/2025 22:00:00 - 05/02/2025 23:00:00,BZN|DK2,Without sequence,120.69,,
05/02/2025 23:00:00 - 06/02/2025 00:00:00,BZN|DK2,Without sequence,112.3,,
06/02/2025 00:00:00 - 06/02/2025 01:00:00,BZN|DK2,Without sequence,130.5,,
06/02/2025 01:00:00 - 06/02/2025 02:00:00,BZN|DK2,Without sequence,129.4,,
06/02/2025 02:00:00 - 06/02/2025 03:00:00,BZN|DK2,Without sequence,122.55,,
06/02/2025 03:00:00 - 06/02/2025 04:00:00,BZN|DK2,Without sequence,123.51,,
06/02/2025 04:00:00 - 06/02/2025 05:00:00,BZN|DK2,Without sequence,118.48,,
06/02/2025 05:00:00 - 06/02/2025 06:00:00,BZN|DK2,Without sequence,126.81,,
06/02/2025 06:00:00 - 06/02/2025 07:00:00,BZN|DK2,Without sequence,156.12,,
06/02/2025 07:00:00 - 06/02/2025 08:00:00,BZN|DK2,Without sequence,177.41,,
06/02/2025 08:00:00 - 06/02/2025 09:00:00,BZN|DK2,Without sequence,219.42,,
06/02/2025 09:00:00 - 06/02/2025 10:00:00,BZN|DK2,Without sequence,179,,
06/02/2025 10:00:00 - 06/02/2025 11:00:00,BZN|DK2,Without sequence,159.04,,
06/02/2025 11:00:00 - 06/02/2025 12:00:00,BZN|DK2,Without sequence,146.06,,
06/02/2025 12:00:00 - 06/02/2025 13:00:00,BZN|DK2,Without sequence,136.78,,
06/02/2025 13:00:00 - 06/02/2025 14:00:00,BZN|DK2,Without sequence,129.02,,
06/02/2025 14:00:00 - 06/02/2025 15:00:00,BZN|DK2,Without sequence,121.97,,
06/02/2025 15:00:00 - 06/02/2025 16:00:00,BZN|DK2,Without sequence,150.8,,
06/02/2025 16:00:00 - 06/02/2025 17:00:00,BZN|DK2,Without sequence,164.9,,
06/02/2025 17:00:00 - 06/02/2025 18:00:00,BZN|DK2,Without sequence,171.6,,
06/02/2025 18:00:00 - 06/02/2025 19:00:00,BZN|DK2,Without sequence,170.49,,
06/02/2025 19:00:00 - 06/02/2025 20:00:00,BZN|DK2,Without sequence,162.95,,
06/02/2025 20:00:00 - 06/02/2025 21:00:00,BZN|DK2,Without sequence,141.33,,
06/02/2025 21:00:00 - 06/02/2025 22:00:00,BZN|DK2,Without sequence,131.26,,
06/02/2025 22:00:00 - 06/02/2025 23:00:00,BZN|DK2,Without sequence,129.51,,
06/02/2025 23:00:00 - 07/02/2025 00:00:00,BZN|DK2,Without sequence,118.79,,
07/02/2025 00:00:00 - 07/02/2025 01:00:00,BZN|DK2,Without sequence,121.28,,
07/02/2025 01:00:00 - 07/02/2025 02:00:00,BZN|DK2,Without sequence,110.66,,
07/02/2025 02:00:00 - 07/02/2025 03:00:00,BZN|DK2,Without sequence,108.83,,
07/02/2025 03:00:00 - 07/02/2025 04:00:00,BZN|DK2,Without sequence,105,,
07/02/2025 04:00:00 - 07/02/2025 05:00:00,BZN|DK2,Without sequence,94.22,,
07/02/2025 05:00:00 - 07/02/2025 06:00:00,BZN|DK2,Without sequence,95.06,,
07/02/2025 06:00:00 - 07/02/2025 07:00:00,BZN|DK2,Without sequence,111.66,,
07/02/2025 07:00:00 - 07/02/2025 08:00:00,BZN|DK2,Without sequence,141.94,,
07/02/2025 08:00:00 - 07/02/2025 09:00:00,BZN|DK2,Without sequence,164.41,,
07/02/2025 09:00:00 - 07/02/2025 10:00:00,BZN|DK2,Without sequence,150.17,,
07/02/2025 10:00:00 - 07/02/2025 11:00:00,BZN|DK2,Without sequence,132.09,,
07/02/2025 11:00:00 - 07/02/2025 12:00:00,BZN|DK2,Without sequence,109.34,,
07/02/2025 12:00:00 - 07/02/2025 13:00:00,BZN|DK2,Without sequence,94.39,,
07/02/2025 13:00:00 - 07/02/2025 14:00:00,BZN|DK2,Without sequence,89.46,,
07/02/2025 14:00:00 - 07/02/2025 15:00:00,BZN|DK2,Without sequence,89.25,,
07/02/2025 15:00:00 - 07/02/2025 16:00:00,BZN|DK2,Without sequence,94.9,,
07/02/2025 16:00:00 - 07/02/2025 17:00:00,BZN|DK2,Without sequence,113.68,,
